 w      dos          err
-3.00   0.003772   0.000000
-2.98   0.003876   0.000000
-2.97   0.003985   0.000000
-2.95   0.004099   0.000000
-2.94   0.004220   0.000000
-2.92   0.004347   0.000000
-2.91   0.004481   0.000000
-2.89   0.004623   0.000000
-2.88   0.004773   0.000000
-2.86   0.004932   0.000000
-2.85   0.005101   0.000000
-2.83   0.005281   0.000000
-2.82   0.005473   0.000000
-2.80   0.005679   0.000000
-2.79   0.005899   0.000000
-2.77   0.006135   0.000000
-2.76   0.006389   0.000000
-2.74   0.006664   0.000000
-2.73   0.006962   0.000000
-2.71   0.007285   0.000000
-2.70   0.007638   0.000000
-2.68   0.008025   0.000000
-2.67   0.008450   0.000000
-2.65   0.008919   0.000000
-2.64   0.009441   0.000000
-2.62   0.010024   0.000000
-2.61   0.010680   0.000000
-2.59   0.011423   0.000000
-2.58   0.012272   0.000000
-2.56   0.013252   0.000000
-2.55   0.014395   0.000000
-2.53   0.015746   0.000000
-2.52   0.017368   0.000000
-2.50   0.019350   0.000000
-2.49   0.021829   0.000000
-2.47   0.025016   0.000000
-2.46   0.029268   0.000000
-2.44   0.035222   0.000000
-2.43   0.044142   0.000000
-2.41   0.058939   0.000000
-2.40   0.087953   0.000000
-2.38   0.165522   0.000000
-2.37   0.447952   0.000000
-2.35   0.685358   0.000014
-2.34   0.748445   0.000068
-2.32   0.772891   0.000073
-2.31   0.785354   0.000076
-2.29   0.792742   0.000079
-2.28   0.797533   0.000075
-2.26   0.800874   0.000078
-2.25   0.803359   0.000077
-2.23   0.805291   0.000079
-2.22   0.806879   0.000080
-2.20   0.808254   0.000080
-2.19   0.809475   0.000080
-2.17   0.810679   0.000079
-2.16   0.811802   0.000080
-2.14   0.812931   0.000080
-2.13   0.814079   0.000081
-2.11   0.815264   0.000081
-2.10   0.816530   0.000081
-2.08   0.817848   0.000080
-2.07   0.819235   0.000081
-2.05   0.820741   0.000081
-2.04   0.822337   0.000082
-2.02   0.824024   0.000081
-2.01   0.825840   0.000082
-1.99   0.827785   0.000082
-1.98   0.829860   0.000082
-1.96   0.832118   0.000083
-1.95   0.834524   0.000083
-1.93   0.837096   0.000083
-1.92   0.839898   0.000083
-1.90   0.842905   0.000084
-1.89   0.846170   0.000084
-1.87   0.849716   0.000085
-1.86   0.853610   0.000085
-1.84   0.857923   0.000085
-1.83   0.862752   0.000086
-1.81   0.868082   0.000086
-1.80   0.874387   0.000087
-1.78   0.881657   0.000088
-1.77   0.890427   0.000089
-1.75   0.901453   0.000090
-1.74   0.916111   0.000091
-1.72   0.937358   0.000093
-1.71   0.971652   0.000097
-1.69   1.009094   0.000101
-1.68   0.930158   0.000093
-1.66   0.851359   0.000085
-1.65   0.796967   0.000080
-1.63   0.757714   0.000076
-1.62   0.730817   0.000073
-1.60   0.721430   0.000072
-1.59   0.767445   0.000077
-1.57   0.879594   0.000088
-1.56   0.919348   0.000092
-1.54   0.938497   0.000094
-1.53   0.953300   0.000095
-1.51   0.967484   0.000096
-1.50   0.982465   0.000098
-1.48   0.999174   0.000100
-1.47   1.018468   0.000101
-1.45   1.041447   0.000104
-1.44   1.069299   0.000106
-1.42   1.102083   0.000109
-1.41   1.126127   0.000112
-1.39   1.013561   0.000101
-1.38   0.853579   0.000085
-1.36   0.867551   0.000086
-1.35   0.957433   0.000095
-1.33   1.162475   0.000114
-1.32   1.550545   0.000155
-1.30   1.377441   0.000136
-1.29   1.181141   0.000118
-1.27   1.050042   0.000105
-1.26   0.987594   0.000098
-1.24   0.973324   0.000097
-1.23   0.983504   0.000098
-1.21   1.000337   0.000100
-1.20   1.019872   0.000102
-1.18   1.041090   0.000104
-1.17   1.063903   0.000106
-1.15   1.088463   0.000109
-1.14   1.115401   0.000111
-1.12   1.145029   0.000114
-1.11   1.178269   0.000118
-1.09   1.216326   0.000122
-1.08   1.261126   0.000126
-1.06   1.315456   0.000131
-1.05   1.384619   0.000138
-1.03   1.478897   0.000148
-1.02   1.620254   0.000162
-1.00   1.768441   0.000177
-0.98   1.614571   0.000161
-0.97   1.468080   0.000147
-0.95   1.369149   0.000137
-0.94   1.295841   0.000129
-0.92   1.237622   0.000124
-0.91   1.189315   0.000119
-0.89   1.147985   0.000115
-0.88   1.111835   0.000111
-0.86   1.079625   0.000108
-0.85   1.050677   0.000105
-0.83   1.024238   0.000102
-0.82   0.999935   0.000100
-0.80   0.977462   0.000098
-0.79   0.956515   0.000095
-0.77   0.936888   0.000093
-0.76   0.918434   0.000092
-0.74   0.900976   0.000090
-0.73   0.884455   0.000088
-0.71   0.868700   0.000087
-0.70   0.853765   0.000085
-0.68   0.839433   0.000084
-0.67   0.825708   0.000082
-0.65   0.812511   0.000081
-0.64   0.799790   0.000080
-0.62   0.787557   0.000079
-0.61   0.775716   0.000077
-0.59   0.764289   0.000076
