 mu     n          err
-5.00  -0.000011   0.000492
-4.95   0.000052   0.000477
-4.89   0.000053   0.000455
-4.83   0.000050   0.000463
-4.78   0.000050   0.000425
-4.72   0.000050   0.000476
-4.67   0.000019   0.000482
-4.62   0.000030   0.000444
-4.56   0.000022   0.000467
-4.50   0.000009   0.000491
-4.45   0.000033   0.000428
-4.39   0.000029   0.000454
-4.34   0.000035   0.000527
-4.29   0.000058   0.000372
-4.23   0.000056   0.000374
-4.17   0.000050   0.000534
-4.12   0.000084   0.000549
-4.06   0.000078   0.000537
-4.01   0.000084   0.000547
-3.96   0.004346   0.000550
-3.90   0.012388   0.000553
-3.84   0.020767   0.000553
-3.79   0.030511   0.000686
-3.74   0.045375   0.001202
-3.68   0.060643   0.000842
-3.62   0.075222   0.001171
-3.57   0.092136   0.001087
-3.51   0.107645   0.001292
-3.46   0.124441   0.001866
-3.41   0.141838   0.001660
-3.35   0.158854   0.001682
-3.29   0.180294   0.001613
-3.24   0.196974   0.001783
-3.19   0.215127   0.002235
-3.13   0.240168   0.002103
-3.08   0.259551   0.002102
-3.02   0.278647   0.002542
-2.96   0.305504   0.002692
-2.91   0.330431   0.003023
-2.85   0.358550   0.002695
-2.80   0.382704   0.003501
-2.75   0.423276   0.004742
-2.69   0.468916   0.006098
-2.63   0.508505   0.002847
-2.58   0.538560   0.002692
-2.52   0.575527   0.004177
-2.47   0.599535   0.002793
-2.42   0.627987   0.002572
-2.36   0.652250   0.002392
-2.31   0.672751   0.001762
-2.25   0.694730   0.002742
-2.19   0.711458   0.002818
-2.14   0.730862   0.002088
-2.08   0.748819   0.002282
-2.03   0.765885   0.002512
-1.98   0.783089   0.002162
-1.92   0.796915   0.001953
-1.87   0.815599   0.002144
-1.81   0.829355   0.001632
-1.75   0.842311   0.001655
-1.70   0.857178   0.001825
-1.65   0.869778   0.001592
-1.59   0.880731   0.001482
-1.54   0.894641   0.001786
-1.48   0.906358   0.001495
-1.42   0.917939   0.001364
-1.37   0.931496   0.001232
