 w      dos          err
-2.00   0.106593   0.000100
-1.99   0.107259   0.000100
-1.98   0.108013   0.000100
-1.98   0.108733   0.000100
-1.97   0.109533   0.000100
-1.96   0.110406   0.000100
-1.95   0.111184   0.000100
-1.94   0.112037   0.000100
-1.94   0.112917   0.000100
-1.93   0.113849   0.000100
-1.92   0.114774   0.000100
-1.91   0.115776   0.000100
-1.90   0.116785   0.000100
-1.90   0.117823   0.000100
-1.89   0.118901   0.000100
-1.88   0.120085   0.000100
-1.87   0.121295   0.000100
-1.86   0.122478   0.000100
-1.86   0.123836   0.000100
-1.85   0.125219   0.000100
-1.84   0.126667   0.000100
-1.83   0.128168   0.000100
-1.82   0.129827   0.000100
-1.82   0.131577   0.000100
-1.81   0.133383   0.000100
-1.80   0.135424   0.000100
-1.79   0.137561   0.000100
-1.78   0.139931   0.000100
-1.78   0.142442   0.000100
-1.77   0.145326   0.000100
-1.76   0.148607   0.000100
-1.75   0.152266   0.000100
-1.74   0.156439   0.000100
-1.74   0.161454   0.000100
-1.73   0.167609   0.000100
-1.72   0.175333   0.000100
-1.71   0.186611   0.000100
-1.70   0.204014   0.000100
-1.70   0.239651   0.000100
-1.69   0.312211   0.000100
-1.68   0.327648   0.000100
-1.67   0.323759   0.000100
-1.66   0.319133   0.000100
-1.66   0.315314   0.000100
-1.65   0.312229   0.000100
-1.64   0.309746   0.000100
-1.63   0.307895   0.000100
-1.62   0.306558   0.000100
-1.62   0.305559   0.000100
-1.61   0.304922   0.000100
-1.60   0.304620   0.000100
-1.59   0.304618   0.000100
-1.58   0.304905   0.000100
-1.58   0.305498   0.000100
-1.57   0.306331   0.000100
-1.56   0.307423   0.000100
-1.55   0.308877   0.000100
-1.54   0.310609   0.000100
-1.54   0.312680   0.000100
-1.53   0.314945   0.000100
-1.52   0.317855   0.000100
-1.51   0.321071   0.000100
-1.50   0.324736   0.000100
-1.50   0.328965   0.000100
-1.49   0.333860   0.000100
-1.48   0.339494   0.000100
-1.47   0.346241   0.000100
-1.46   0.354205   0.000100
-1.46   0.363967   0.000100
-1.45   0.376283   0.000100
-1.44   0.392744   0.000100
-1.43   0.416958   0.000100
-1.42   0.460591   0.000100
-1.42   0.580076   0.000100
-1.41   0.687693   0.000100
-1.40   0.599037   0.000100
-1.39   0.539609   0.000100
-1.38   0.502077   0.000100
-1.38   0.475594   0.000100
-1.37   0.455945   0.000100
-1.36   0.440470   0.000100
-1.35   0.428066   0.000100
-1.34   0.417885   0.000100
-1.34   0.409539   0.000100
-1.33   0.402474   0.000100
-1.32   0.396790   0.000100
-1.31   0.391968   0.000100
-1.30   0.387806   0.000100
-1.30   0.384010   0.000100
-1.29   0.379856   0.000100
-1.28   0.374011   0.000100
-1.27   0.359767   0.000100
-1.26   0.307358   0.000100
-1.26   0.266613   0.000100
-1.25   0.253095   0.000100
-1.24   0.245145   0.000100
-1.23   0.239039   0.000100
-1.22   0.233933   0.000100
-1.22   0.229590   0.000100
-1.21   0.225982   0.000100
-1.20   0.223415   0.000100
-1.19   0.221818   0.000100
-1.18   0.222187   0.000100
-1.18   0.224717   0.000100
-1.17   0.231094   0.000100
-1.16   0.244490   0.000100
-1.15   0.260953   0.000100
-1.14   0.242987   0.000100
-1.14   0.227270   0.000100
-1.13   0.216895   0.000100
-1.12   0.209066   0.000100
-1.11   0.202941   0.000100
-1.10   0.197937   0.000100
-1.10   0.193591   0.000100
-1.09   0.189816   0.000100
-1.08   0.186390   0.000100
-1.07   0.183500   0.000100
-1.06   0.180803   0.000100
-1.06   0.178709   0.000100
-1.05   0.177382   0.000100
-1.04   0.179178   0.000100
-1.03   0.180001   0.000100
-1.02   0.179684   0.000100
-1.02   0.179125   0.000100
-1.01   0.178534   0.000100
-1.00   0.177915   0.000100
-0.99   0.176989   0.000100
-0.98   0.176451   0.000100
-0.98   0.175712   0.000100
-0.97   0.175044   0.000100
-0.96   0.174498   0.000100
-0.95   0.173848   0.000100
-0.94   0.173134   0.000100
-0.94   0.172468   0.000100
-0.93   0.171759   0.000100
-0.92   0.170939   0.000100
-0.91   0.170245   0.000100
-0.90   0.169667   0.000100
-0.90   0.168932   0.000100
-0.89   0.168230   0.000100
-0.88   0.167549   0.000100
-0.87   0.166825   0.000100
-0.86   0.166144   0.000100
-0.86   0.165476   0.000100
-0.85   0.164801   0.000100
-0.84   0.164079   0.000100
-0.83   0.163400   0.000100
-0.82   0.162681   0.000100
-0.82   0.162060   0.000100
-0.81   0.161385   0.000100
-0.80   0.160634   0.000100
-0.79   0.160052   0.000100
-0.78   0.159380   0.000100
-0.78   0.158702   0.000100
-0.77   0.158084   0.000100
-0.76   0.157427   0.000100
-0.75   0.156768   0.000100
-0.74   0.155810   0.000100
-0.74   0.155541   0.000100
-0.73   0.154926   0.000100
-0.72   0.154315   0.000100
-0.71   0.153670   0.000100
-0.70   0.153038   0.000100
-0.70   0.152486   0.000100
-0.69   0.151895   0.000100
-0.68   0.151299   0.000100
-0.67   0.150650   0.000100
-0.66   0.150113   0.000100
-0.66   0.149518   0.000100
-0.65   0.148958   0.000100
-0.64   0.148395   0.000100
-0.63   0.147737   0.000100
-0.62   0.147247   0.000100
-0.62   0.146718   0.000100
-0.61   0.146178   0.000100
-0.60   0.145632   0.000100
-0.59   0.145143   0.000100
-0.58   0.144604   0.000100
-0.58   0.144021   0.000100
-0.57   0.143564   0.000100
-0.56   0.143043   0.000100
-0.55   0.142546   0.000100
-0.54   0.142006   0.000100
-0.54   0.141493   0.000100
-0.53   0.140970   0.000100
-0.52   0.140498   0.000100
-0.51   0.140017   0.000100
-0.50   0.139524   0.000100
-0.50   0.139105   0.000100
-0.49   0.138630   0.000100
-0.48   0.138163   0.000100
-0.47   0.137706   0.000100
-0.46   0.137234   0.000100
-0.46   0.136724   0.000100
-0.45   0.136333   0.000100
-0.44   0.135922   0.000100
-0.43   0.135448   0.000100
-0.42   0.135055   0.000100
